ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
101.255.16.214,,ID,Jakarta,,,false,1.00,2018-04-05T15:45:53Z,2015-01-05T18:10:16Z
177.52.144.3,dns2.ouronetonline.net.br.,BR,Passo Fundo,not currently available,,false,1.00,2018-04-05T15:45:52Z,2015-01-05T18:18:42Z
121.182.100.163,,KR,Anyang-si,dnsmasq-2.38,,false,1.00,2018-04-05T15:45:53Z,2015-01-05T18:20:19Z
212.69.20.162,,RS,Belgrade,,,false,1.00,2018-04-05T15:45:51Z,2015-01-05T18:24:27Z
189.90.105.188,189-90-105-188.life.com.br.,BR,Marília,dnsmasq-2.40,,false,0.72,2018-04-05T15:45:53Z,2015-01-05T18:25:02Z
64.46.31.212,64-46-31-212.stc.novuscom.net.,CA,Vancouver,,,false,1.00,2018-04-05T15:45:52Z,2015-01-05T18:26:43Z
61.76.83.69,,KR,Goyang-si,Microsoft DNS 6.1.7601 (1DB15D39),,false,0.97,2018-04-05T15:45:57Z,2015-01-05T18:31:28Z
206.78.48.98,,US,Visalia,Microsoft DNS 6.0.6002 (17724D35),,false,1.00,2018-04-05T15:45:55Z,2015-01-05T18:33:30Z
50.63.174.247,ip-50-63-174-247.ip.secureserver.net.,US,Scottsdale,,,false,0.93,2018-04-05T15:45:55Z,2015-01-05T18:37:48Z
95.80.217.164,,CZ,,,,false,1.00,2018-04-05T15:45:51Z,2015-01-05T18:37:57Z
46.10.219.217,46-10-219-217.ip.btc-net.bg.,BG,Burgas,,,false,1.00,2018-04-05T15:45:52Z,2015-01-05T18:42:26Z
110.143.124.82,revesb3.lnk.telstra.net.,AU,Killarney,unknown,,false,0.59,2018-04-05T15:45:54Z,2015-01-05T18:45:04Z
59.125.141.244,59-125-141-244.HINET-IP.hinet.net.,TW,Kaohsiung City,dnsmasq-2.48,,false,0.97,2018-04-05T15:45:55Z,2015-01-05T18:48:45Z
109.195.102.222,109x195x102x222.static-business.ekat.ertelecom.ru.,RU,Aramil,,,false,1.00,2018-04-05T15:45:52Z,2015-01-05T18:52:46Z
118.139.165.53,ip-118-139-165-53.ip.secureserver.net.,SG,Singapore,,,false,1.00,2018-04-05T15:45:56Z,2015-01-05T18:54:17Z
115.248.164.237,,IN,Visakhapatnam,,,false,0.97,2018-04-05T15:45:56Z,2015-01-05T18:54:45Z
